account,type,residence,date_joined,indication_coupon,first_deposit_amount,first_deposit_date,first_transaction_amount,first_transaction_date,balance_amount
5019,type_6,ua,2018-06-18,308,9090.91,2018-06-18,,,9090.91
3655,type_6,ve,2017-09-04,83,9090.91,2017-09-04,0.12,2017-09-04,-191834.62
2809,type_6,br,2017-01-16,308,9090.91,2017-01-16,0.205555555555556,2017-01-16,-3679886.14
3876,type_6,mm,2017-11-01,232,9090.91,2017-11-01,,,-90909.09
4973,type_6,lk,2018-06-09,308,9090.91,2018-06-09,0.11,2018-06-11,8974.12
4429,type_6,br,2018-03-03,308,9090.91,2018-03-03,54.0,2018-03-03,8732.54
5627,type_6,id,2018-09-28,308,9090.91,2018-09-28,,,9090.91
1748,type_1,id,2018-01-27,308,,,,,
1115,type_1,zw,2017-04-04,308,50.3,2017-04-04,0.105614035087719,2017-04-04,-62983.88
1848,type_1,ng,2018-03-01,308,,,,,
2469,type_1,id,2018-10-07,308,,,,,
5558,type_6,id,2018-09-18,308,9090.91,2018-09-18,2.0,2018-09-18,9088.47
3946,type_6,ru,2017-11-17,308,9090.91,2017-11-17,1.06,2017-11-30,-190909.74
2984,type_6,id,2017-03-04,308,9090.91,2017-03-04,3.93582781456954,2017-03-04,-1000901.79
2810,type_6,cn,2017-01-17,308,9090.91,2017-01-17,1.04,2017-01-17,-90909.73
2221,type_1,id,2018-07-10,308,,,,,
5753,type_6,br,2018-10-22,308,9090.91,2018-10-22,2.99142857142857,2018-10-22,4555.23999999999
5549,type_6,id,2018-09-17,308,9090.91,2018-09-17,0.812034700315457,2018-09-17,8439.83
3285,type_6,id,2017-05-24,308,9090.91,2017-05-24,1.08,2017-05-24,-90908.97
3051,type_6,ru,2017-03-24,48,9090.91,2017-03-24,,,-90909.09
3617,type_6,id,2017-08-23,202,9090.91,2017-08-23,1.09,2017-08-23,-90908.98
4808,type_6,uz,2018-05-14,308,9090.91,2018-05-14,1.06333333333333,2018-05-14,9090.52
5441,type_6,id,2018-08-29,308,9090.91,2018-08-29,5.4,2018-08-29,7749.53
1946,type_1,id,2018-03-29,308,500.0,2018-04-06,0.51210843373494,2018-04-06,692.75
4564,type_6,id,2018-03-26,296,9090.91,2018-03-26,,,9090.91
3788,type_6,mm,2017-10-10,308,9090.91,2017-10-10,3.77722222222222,2017-10-10,-994830.92
1678,type_1,id,2018-01-04,308,,,,,
5014,type_6,"",2018-06-17,308,9090.91,2018-06-17,,,9090.91
1061,type_1,za,2017-02-16,157,1700.0,2017-02-16,8.095,2017-03-10,6187.51
2801,type_6,id,2017-01-14,308,9090.91,2017-01-14,1009.59111111111,2017-01-14,-18793870.7
1665,type_1,ec,2017-12-30,308,,,,,
4488,type_6,ua,2018-03-13,308,9090.91,2018-03-13,,,9090.91
5118,type_6,ph,2018-07-03,308,9090.91,2018-07-03,,,9090.91
2867,type_6,id,2017-02-01,143,9090.91,2017-02-01,89.2533333333333,2017-02-01,-91192.77
2206,type_1,ru,2018-07-05,308,,,,,
5232,type_6,gh,2018-07-17,308,9090.91,2018-07-17,,,9090.91
5083,type_6,id,2018-06-28,308,9090.91,2018-06-28,7.48457446808511,2018-07-03,8238.42000000001
4238,type_6,id,2018-01-19,277,9090.91,2018-01-19,,,9090.91
1303,type_1,br,2017-08-31,181,,,,,
5115,type_6,id,2018-07-02,308,9090.91,2018-07-02,2.0,2018-07-03,9091.59
1707,type_1,id,2018-01-14,132,,,,,
4480,type_6,ng,2018-03-12,308,9090.91,2018-03-12,,,9090.91
4142,type_6,gb,2017-12-28,308,9090.91,2017-12-28,1162.67906976744,2017-12-28,37259.91
5080,type_6,gb,2018-06-27,308,9090.91,2018-06-27,2.0,2018-06-27,9088.47
4174,type_6,zw,2018-01-05,308,9090.91,2018-01-05,,,9090.91
4389,type_6,pk,2018-02-23,308,9090.91,2018-02-23,36.334,2018-02-23,8885.33
1074,type_1,ke,2017-03-01,36,,,,,
5369,type_6,vn,2018-08-15,308,9090.91,2018-08-15,0.23398406374502,2018-08-20,9080.45
5942,type_6,id,2018-12-02,308,9090.91,2018-12-02,2.0,2018-12-02,9091.2
2757,type_6,ru,2017-01-02,75,9090.91,2017-01-02,418.371,2017-01-04,-495480.7
4897,type_6,ru,2018-05-27,308,9090.91,2018-05-27,69.573,2018-05-27,16635.17
3421,type_6,id,2017-07-04,215,9090.91,2017-07-04,1.11,2017-07-04,-90908.99
5559,type_6,lk,2018-09-18,308,9090.91,2018-09-18,1.41061728395062,2018-09-18,8036.17
2385,type_1,id,2018-09-12,308,,,,,
5332,type_6,ru,2018-08-07,308,9090.91,2018-08-07,20.0,2018-08-07,7242.34
4739,type_6,ph,2018-04-28,308,9090.91,2018-04-28,,,9090.91
4860,type_6,lk,2018-05-22,308,9090.91,2018-05-22,,,9090.91
4797,type_6,id,2018-05-11,308,9090.91,2018-05-11,3840.016,2018-05-11,-3509.45
1404,type_1,ru,2017-10-16,18,1000.0,2017-10-16,1.0,2017-10-16,839.67
4118,type_6,id,2017-12-23,308,9090.91,2017-12-23,,,9090.91
4078,type_6,id,2017-12-15,308,9090.91,2017-12-15,0.866666666666667,2017-12-15,-90912.07
3983,type_6,za,2017-11-24,308,9090.91,2017-11-24,1.05714285714286,2017-11-24,-4893660.19
1117,type_1,id,2017-04-06,45,300.0,2017-06-29,0.290112359550562,2017-07-04,9982.14
3747,type_6,ng,2017-09-29,308,9090.91,2017-09-29,3.31406779661017,2017-09-29,-191009.21
4052,type_6,pk,2017-12-11,116,9090.91,2017-12-11,1.06,2017-12-14,-290909.88
