transaction_date,account,total_buy,total_sell,total_deposits,total_withdrawals,count_contracts,count_deposits,count_withdrawals
2018-05-25,1093,,,,3.15,0,0,1
2017-03-18,1093,7.5,6.5,100.0,,72,1,0
2017-03-17,1093,48.63,38.51,1000.0,,93,2,0
2018-12-10,2622,36.29,32.99,,,44,0,0
2018-12-09,2622,101.19,102.56,,,76,0,0
2018-12-08,2622,2.04,2.07,272.44,,11,1,0
2018-02-25,1237,14.33,11.54,,,85,0,0
2018-02-24,1237,30.98,32.68,100.0,,184,1,0
2018-02-21,1237,0.47,0.43,,,6,0,0
2018-02-19,1237,15.04,14.0,,,153,0,0
2018-02-18,1237,8.6,8.79,,,86,0,0
2018-02-17,1237,7.09,5.14,,,43,0,0
2018-02-16,1237,20.32,17.97,,,103,0,0
2018-02-15,1237,1.15,1.06,500.0,,12,1,0
2018-02-14,1237,4.85,4.62,,,55,0,0
2018-02-13,1237,0.14,0.14,,,2,0,0
2018-02-10,1237,0.5,0.25,,,6,0,0
2018-02-07,1237,1.06,1.02,,,11,0,0
2018-02-03,1237,7.28,7.05,,,87,0,0
2018-02-02,1237,1.1,0.96,,,11,0,0
2018-01-31,1237,0.88,1.0,,,8,0,0
2018-01-30,1237,2.09,2.03,,,14,0,0
2018-01-29,1237,3.83,3.47,,,35,0,0
2018-01-28,1237,0.99,1.17,,,8,0,0
2018-01-19,1237,1.31,1.2,,,12,0,0
2018-01-18,1237,2.65,2.87,100.0,,16,1,0
2018-01-14,1237,0.88,0.51,,,8,0,0
2018-01-13,1237,4.23,4.37,,,51,0,0
2018-01-12,1237,0.14,0.14,,,2,0,0
2018-01-08,1237,9.52,9.26,,,117,0,0
2018-01-07,1237,2.11,1.81,,,23,0,0
2018-01-06,1237,14.85,13.21,,,95,0,0
2018-01-05,1237,9.68,10.26,,,47,0,0
2018-01-04,1237,6.12,6.77,100.0,,52,1,0
2018-01-03,1237,13.47,11.98,,,88,0,0
2018-01-02,1237,10.05,10.93,,,63,0,0
2018-01-01,1237,3.22,3.04,,,31,0,0
2017-12-31,1237,5.13,5.17,,,29,0,0
2017-12-30,1237,2.1,2.64,,,14,0,0
2017-12-18,1237,1.54,1.27,,,15,0,0
2017-12-15,1237,10.13,9.64,100.0,,28,1,0
2017-12-02,1237,4.45,3.39,,,16,0,0
2017-12-01,1237,5.73,5.77,100.0,,14,1,0
2017-11-30,1237,10.91,7.89,300.0,,42,2,0
2017-11-29,1237,47.61,44.71,,,120,0,0
2017-11-28,1237,10.39,11.93,100.0,,74,1,0
2017-11-27,1237,0.1,0.15,,,1,0,0
2017-11-26,1237,0.8,0.96,,,11,0,0
2017-11-25,1237,10.03,7.54,250.0,,35,1,0
2017-10-28,1237,2.95,2.73,,,42,0,0
2017-10-27,1237,1.57,1.52,,,22,0,0
2017-10-26,1237,3.72,3.22,,,21,0,0
2017-10-25,1237,8.39,6.97,,,19,0,0
